season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,games_played_post_asg,games_played_pre_asg,win_pct_post_asg,win_pct_pre_asg,wins_post_asg,wins_pre_asg,projected_wins_before_asg,actual_wins,projection_difference,post_asg_win_pct_drop,season_length,avg_starter_minutes_per_game_post_asg,avg_starter_minutes_per_game_pre_asg,avg_starter_minutes_per_player_post_asg,avg_starter_minutes_per_player_pre_asg,total_starter_minutes_post_asg,total_starter_minutes_pre_asg,starter_minutes_change_per_game,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change,win_projection_drop,starter_minutes_drop,players_used_increase,lineup_experimentation_increase,raw_tanking_score,lottery_candidate,tanking_score,score_note
2020-21,1610612757,POR,Portland Trail Blazers,37,35,0.567567568,0.6,21,21,43.199999999999996,42,-1.1999999999999957,-0.03243243200000001,72,162.4121622,163.5204762,32.48243243,32.70409524,6009.25,5723.216667,-1.108314028,10.74193548,9.652173913,13.67741935,12.73913043,19,17,1.089761571,0.93828892,1.1999999999999957,1.108314028,1.089761571,0.93828892,4.3363645189999955,False,0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612747,LAL,Los Angeles Lakers,35,37,0.514285714,0.648648649,18,24,46.702702728,42,-4.7027027279999984,-0.13436293499999996,72,155.0742857,152.8626126,31.01485714,30.57252252,5427.6,5655.916667,2.211673102,10.93548387,11.13043478,14.5483871,14.52173913,19,23,-0.194950912,0.026647966,4.7027027279999984,-2.211673102,-0.194950912,0.026647966,2.322726679999999,False,0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612746,LAC,LA Clippers,34,38,0.676470588,0.631578947,23,24,45.47368418399999,47,1.5263158160000074,0.04489164100000009,72,154.5710784,151.1201754,30.91421569,30.22403509,5255.416667,5742.566667,3.450902993,11.03448276,11.0,15.62068966,15.36,20,24,0.034482759,0.260689655,-1.5263158160000074,-3.450902993,0.034482759,0.260689655,-4.682046395000007,False,-0.0,Playoff/above-.500 team: score set to 0
2021-22,1610612755,PHI,Philadelphia 76ers,24,58,0.666666667,0.603448276,16,35,49.482758632,51,1.5172413680000005,0.06321839100000004,82,168.5493056,167.6106322,33.70986111,33.52212644,4045.183333,9721.416667,0.938673372,10.45454545,9.954545455,15.0,14.5,21,25,0.5,0.5,-1.5172413680000005,-0.938673372,0.5,0.5,-1.4559147400000008,False,-0.0,Playoff/above-.500 team: score set to 0
2021-22,1610612748,MIA,Miami Heat,23,59,0.652173913,0.644067797,15,38,52.813559354000006,53,0.1864406459999941,0.008106115999999997,82,158.8884058,165.9774011,31.77768116,33.19548023,3654.433333,9792.666667,-7.088995333,10.6,10.13333333,11.95,14.13333333,16,20,0.466666667,-2.183333333,-0.1864406459999941,7.088995333,0.466666667,-2.183333333,5.185888021000006,False,0.0,Playoff/above-.500 team: score set to 0
2021-22,1610612751,BKN,Brooklyn Nets,23,59,0.565217391,0.525423729,13,31,43.084745778,44,0.9152542220000015,0.03979366200000001,82,163.3144928,161.4381356,32.66289855,32.28762712,3756.233333,9524.85,1.87635716,10.13636364,10.93548387,16.22727273,16.22580645,24,24,-0.799120235,0.001466276,-0.9152542220000015,-1.87635716,-0.799120235,0.001466276,-3.5892653410000013,False,-0.0,Playoff/above-.500 team: score set to 0
2021-22,1610612756,PHX,Phoenix Suns,24,58,0.666666667,0.827586207,16,48,67.862068974,64,-3.862068973999996,-0.16091953999999997,82,160.8215278,161.2272989,32.16430556,32.24545977,3859.716667,9351.183333,-0.405771073,10.69565217,10.54545455,12.69565217,14.36363636,18,21,0.150197628,-1.66798419,3.862068973999996,0.405771073,0.150197628,-1.66798419,2.750053484999996,False,0.0,Playoff/above-.500 team: score set to 0
2021-22,1610612742,DAL,Dallas Mavericks,23,59,0.739130435,0.593220339,17,35,48.644067798,52,3.355932201999998,0.14591009599999993,82,163.4731884,160.5971751,32.69463768,32.11943503,3759.883333,9475.233333,2.876013265,10.55,11.625,14.95,16.95833333,19,26,-1.075,-2.008333333,-3.355932201999998,-2.876013265,-1.075,-2.008333333,-9.315278799999998,False,-0.0,Playoff/above-.500 team: score set to 0
2021-22,1610612743,DEN,Denver Nuggets,24,58,0.625,0.568965517,15,33,46.655172394,48,1.3448276060000026,0.056034483000000024,82,154.8715278,156.3847701,30.97430556,31.27695402,3716.916667,9070.316667,-1.513242337,10.875,10.95833333,12.20833333,13.41666667,17,25,-0.083333333,-1.208333333,-1.3448276060000026,1.513242337,-0.083333333,-1.208333333,-1.1232519350000023,False,-0.0,Playoff/above-.500 team: score set to 0
2022-23,1610612758,SAC,Sacramento Kings,25,57,0.64,0.561403509,16,32,46.035087738,48,1.9649122619999986,0.07859649099999999,82,158.0646667,163.2438596,31.61293333,32.64877193,3951.616667,9304.9,-5.179192982,11.96,11.42307692,15.16,15.71153846,20,24,0.536923077,-0.551538462,-1.9649122619999986,5.179192982,0.536923077,-0.551538462,3.1996653350000015,False,0.0,Playoff/above-.500 team: score set to 0
